ground_data_tree_id,aerial_data_tree_id,stem_id,species,stem_diameter,agb,score,aerial_data_height,area,UTM_2018_X,UTM_2018_Y,left,bottom,right,top,tree_status,census_codes,adbin,gdbin
4856,869d4021-d2f6-453f-b0e4-c134de8b8739,4856,litu,475.0,321558.086167957,0.654629647731781,28.1847997,61.61999999600928,747461.9,4308529.2,747456.0,4308523.7,747463.8,4308531.6,A,main,5,5
10617,09ddd7be-d63f-4129-b192-fa0d90a881f8,10617,litu,638.0,643069.604598791,0.6537079811096191,37.8324983,73.0999999968335,747550.8,4308601.4,747548.0,4308599.5,747556.5,4308608.1,A,F,5,5
10068,f4865658-1277-493a-b625-f713adbb755e,10068,litu,265.0,81631.0145935933,0.6536391377449036,36.2240013,128.6199999939138,747517.2,4308953.6,747511.5,4308947.9,747523.3,4308958.8,A,main,5,5
4180,cb097936-1429-478b-9004-aee5bfd93405,4180,fagr,186.0,45789.0251425521,0.653220534324646,31.5487007,88.36000000372063,747428.4,4308797.4,747426.1,4308796.8,747435.5,4308806.2,A,main,5,5
20283,dfb0676d-a031-4d09-a862-dc13d68c6984,20283,fram,464.0,302370.131855998,0.6531871557235718,29.1384995,48.75,747653.0,4308939.5,747653.0,4308934.4,747660.5,4308940.9,A,main,5,5
18070,3587b019-be4e-4d44-920e-634d33db51f2,18070,cato,489.0,351820.880556822,0.6531727313995361,36.6808,39.03999999704771,747622.2,4308723.6,747620.3,4308718.7,747626.7,4308724.8,A,F,5,5
8468,392f4846-5724-42b4-baeb-cccd18d078d0,8468,fagr,92.0,8244.76156937256,0.6518442630767822,31.6239999,21.56000000118278,747505.9,4308743.8,747504.3,4308743.1,747508.7,4308748.0,A,F,4,4
18582,207ff78d-db43-4d54-a742-c67044e92b58,18582,cagl,28.0,511.197400356282,0.6496087908744812,26.3754999,15.20999999791151,747615.5,4308967.4,747614.1,4308966.2,747618.0,4308970.1,A,main,3,3
4233,786b4c81-5461-4917-ab50-d42338e6aaca,4233,cato,258.0,81645.4394366055,0.6495468616485596,35.3210012,95.7900000062096,747428.0,4308821.5,747424.8,4308811.6,747434.1,4308821.9,A,main,5,5
11212,ca57336a-def8-4199-b906-4a60a552675e,33586,amar,96.0,9875.424359154938,0.6495165824890137,28.4034004,22.5,747546.2,4308855.2,747544.4,4308852.8,747549.4,4308857.3,A,M,4,4
11851,712526a1-35bf-43be-8243-d78b31dbccfa,11851,libe,24.0,268.705077240693,0.649394154548645,31.6620001,7.830000000603031,747576.9,4308539.9,747575.6,4308538.6,747578.5,4308541.3,A,F;M,2,2
5451,c9e4600b-19f9-446a-8ac8-2ef680d36bf3,5451,tiam,345.0,194623.952621409,0.6491386890411377,26.4184999,45.44000000249594,747443.3,4308817.6,747442.4,4308813.1,747449.5,4308819.5,A,main,5,5
26619,43157d43-6f1b-4b92-9f1f-b9b1abe4e1db,26619,havi,83.0,6989.302332204803,0.6486021876335144,37.6278002,28.99999999906868,747732.9,4308727.2,747731.8,4308723.4,747736.8,4308729.2,A,M,4,4
21609,1f85f2ff-e8ed-4634-82eb-9219749dee5e,21609,litu,794.0,1075061.6633932,0.6483801603317261,37.7039993,142.8000000002794,747676.0,4308789.5,747671.6,4308779.6,747683.5,4308791.6,A,main,5,5
30311,d01ad896-97c7-487d-b4a0-0330ee59b612,30311,prav,306.0,153640.500673958,0.6471698880195618,37.4839001,89.17999999807682,747772.6,4308791.3,747771.6,4308783.4,747780.7,4308793.2,A,main,5,5
